timestamp_ns,data
1747396782207085910,-100.0
1747396782307670553,-100.0
1747396782407136873,-100.0
1747396782508189332,-100.0
1747396782609291802,-100.0
1747396782706475741,-100.0
1747396782807058467,-100.0
1747396782907153576,-100.0
1747396783008314189,-100.0
1747396783106889739,-100.0
1747396783207864481,-100.0
1747396783306249620,-100.0
1747396783408438239,-100.0
1747396783506689640,-100.0
1747396783608612437,-100.0
1747396783706912890,-100.0
1747396783806750032,-100.0
1747396783914551240,-100.0
1747396784007304223,-100.0
1747396784106141289,-100.0
1747396784207185511,-100.0
1747396784307294874,-100.0
1747396784406379975,-100.0
1747396784512557352,-100.0
1747396784607040317,-100.0
1747396784708806916,-100.0
1747396784806941549,-100.0
1747396784906228321,-100.0
1747396785009614637,-100.0
1747396785107151773,-100.0
1747396785207352831,-100.0
1747396785309548677,-100.0
1747396785407026702,-100.0
1747396785506214832,-100.0
1747396785607033942,-100.0
1747396785709400602,-100.05004119873047
1747396785806604285,-100.04995727539062
1747396785909876305,-100.05007934570312
1747396786006812172,-100.04991912841797
1747396786108180805,-100.05004119873047
1747396786206111240,-100.0499496459961
1747396786307761138,-100.05006408691406
1747396786406293756,-100.04994201660156
1747396786506485183,-100.05001068115234
1747396786606247710,-100.04999542236328
1747396786708526279,-100.05001068115234
1747396786807485658,-100.04999542236328
1747396786907168435,-100.0500259399414
1747396787006586168,-100.04996490478516
1747396787107383167,-100.05004119873047
1747396787206822469,-100.04995727539062
1747396787308895956,-100.050048828125
1747396787406453710,-100.04995727539062
1747396787506524221,-100.04998779296875
1747396787605905513,-100.05000305175781
1747396787705887245,-100.04998016357422
1747396787809604455,-100.05007934570312
1747396787906712253,-100.04996490478516
1747396788015614972,-100.05013275146484
1747396788107841388,-100.04985809326172
1747396788208086484,-100.05000305175781
1747396788306848988,-100.04999542236328
1747396788407529660,-100.05004119873047
1747396788507366236,-100.04994201660156
1747396788608371815,-100.0500259399414
1747396788710975650,-100.0500717163086
1747396788807372688,-100.04991912841797
1747396788906194345,-100.04998016357422
1747396789007972996,-100.05004119873047
1747396789107169141,-100.04997253417969
1747396789208892239,-100.05015563964844
1747396789312864037,-100.05001068115234
1747396789407696498,-100.04984283447266
1747396789510970031,-100.05016326904297
1747396789607496707,-100.04984283447266
1747396789711799034,-100.05042266845703
1747396789806405544,-100.049560546875
1747396789909819376,-100.05016326904297
1747396790007808708,-100.04983520507812
1747396790107860516,-100.04999542236328
1747396790207294669,-100.05000305175781
1747396790307042787,-100.04998779296875
1747396790412707975,-100.05018615722656
1747396790507210483,-100.04983520507812
1747396790607544866,-100.05004119873047
1747396790708047871,-100.04994201660156
1747396790809225878,-100.05010986328125
1747396790909043726,-100.0499038696289
1747396791010589843,-100.0500259399414
1747396791107127284,-100.04995727539062
1747396791211123712,-100.05016326904297
1747396791306705658,-100.04984283447266
1747396791410048514,-100.05016326904297
1747396791512301656,-100.05001831054688
1747396791607955871,-100.04985809326172
1747396791708931796,-100.04997253417969
1747396791818936268,-100.05016326904297
1747396791916621486,-100.05023956298828
1747396792012966256,-100.0
1747396792107114377,-100.09968566894531
1747396792207863868,-100.04994201660156
1747396792313306209,-100.05012512207031
1747396792406698004,-100.04985046386719
1747396792506418023,-100.04999542236328
1747396792606666530,-100.04999542236328
1747396792710183617,-100.0501708984375
1747396792806596223,-100.0498275756836
1747396792907496130,-100.04999542236328
1747396793008494927,-100.05001831054688
1747396793111052254,-100.05013275146484
1747396793206751927,-100.04985046386719
1747396793307813664,-100.050048828125
1747396793407044682,-100.04997253417969
1747396793507322164,-100.04998779296875
1747396793606549562,-100.05001068115234
1747396793712446743,-100.05010986328125
1747396793806491468,-100.04988098144531
1747396793907358629,-100.04998779296875
1747396794007117853,-100.05000305175781
1747396794108103407,-100.05001068115234
1747396794206261892,-100.04999542236328
1747396794307390838,-100.05004119873047
1747396794413452458,-100.05010223388672
1747396794506931222,-100.04985809326172
1747396794607358113,-100.04998779296875
1747396794707618229,-100.04998016357422
1747396794807078580,-100.05001831054688
1747396794906561546,-100.05000305175781
1747396795008814483,-100.04999542236328
1747396795108863451,-100.05000305175781
1747396795207533524,-100.05001831054688
1747396795308701134,-100.05003356933594
1747396795406602221,-100.04995727539062
1747396795510262688,-100.05015563964844
1747396795606393956,-100.04985046386719
1747396795709476751,-100.05003356933594
1747396795806771607,-100.04996490478516
1747396795910984412,-100.05013275146484
1747396796008583147,-100.04996490478516
1747396796107362535,-100.04989624023438
1747396796207355011,-100.05000305175781
1747396796311987749,-100.05013275146484
1747396796406245919,-100.04986572265625
1747396796506321052,-100.04999542236328
1747396796613711054,-100.0501708984375
1747396796706528306,-100.04981994628906
1747396796807847483,-100.05005645751953
1747396796906743191,-100.04995727539062
1747396797012995632,-100.05016326904297
1747396797106799061,-100.04985809326172
1747396797208527382,-100.05001831054688
1747396797306196810,-100.04995727539062
1747396797407918127,-100.05003356933594
1747396797506782321,-100.04996490478516
1747396797607123161,-100.05001831054688
1747396797706859539,-100.04997253417969
1747396797807505324,-100.0500259399414
1747396797909682840,-100.05003356933594
1747396798006526476,-100.04995727539062
1747396798107673560,-100.05009460449219
1747396798206747156,-100.04991149902344
1747396798308293808,-100.0501480102539
1747396798406895490,-100.04984283447266
1747396798507547046,-100.04999542236328
1747396798608145814,-100.0500259399414
1747396798709914310,-100.05009460449219
1747396798806257852,-100.04988098144531
1747396798907434757,-100.05000305175781
1747396799006723234,-100.04998779296875
1747396799109784224,-100.05008697509766
1747396799206909304,-100.04991149902344
1747396799306455527,-100.05004119873047
1747396799408425853,-100.04999542236328
1747396799506621286,-100.04997253417969
1747396799607337990,-100.0500259399414
1747396799711268151,-100.05007934570312
1747396799806837290,-100.04989624023438
1747396799906866843,-100.05000305175781
1747396800006944182,-100.04999542236328
1747396800110627538,-100.05016326904297
1747396800206285760,-100.04983520507812
1747396800308727298,-100.05005645751953
1747396800406406776,-100.04994201660156
1747396800507129734,-100.05000305175781
